x_1,x_2,z
18.09084435373969,5.720453689937273,1
4.294668059550959,-14.15695640980122,4
1.616956666793456,37.14495088438007,0
6.181881426040198,33.93987537901113,0
10.884778965292064,-1.688067496815739,2
8.396169482616315,36.482176127544406,0
19.660817147684106,-2.460780248159404,3
15.77507690140232,13.37604298445827,1
15.368046883014053,3.9598054275107115,1
5.762178086186618,37.877671509750954,0
19.944813472495998,-7.440812488704587,3
20.460683082339663,-9.574167038238912,3
6.287798231790458,36.3733515369383,0
16.70356322661813,7.44622292812709,1
9.7615507650391,-1.8976007573108005,2
7.281412388523404,-3.3252843292381287,2
4.229623095640602,-13.081203685827349,4
15.043919073231693,7.394541436210336,1
7.630198883323521,-3.201563145927209,2
6.1079962907390595,35.380236863666035,0
19.567470996886904,-3.554633798433753,3
16.006316978776653,1.7664569008483282,1
8.695722103605057,35.604245542675066,0
13.777729583722822,10.49976122949339,1
16.732958966383766,3.6773189685234855,1
17.535808039868602,3.8399181717102087,1
4.358239689634185,-11.714888072476587,4
3.452291356944472,-13.919829767501618,4
4.733962995587896,-15.914163712033922,4
5.315418326255344,-15.775711440894199,4
4.390734345672338,32.88994388442981,0
20.10912624359941,-7.951459933122088,3
-2.5162288177730203,-9.95432442120558,4
20.103641477222325,-7.728271740312188,3
15.829581153341351,6.286666125792444,1
20.23066020871514,-7.738543555007052,3
3.7959249804824027,-11.881140724530399,4
4.089263261775974,35.980068662975576,0
3.025389491382632,-12.43976906916755,4
3.1821981096449874,-13.164771146501199,4
19.561363801359857,-1.5475758068348844,3
15.532727105040342,2.401549796881562,1
3.754042671475495,-11.99770228660661,4
8.413428087965503,36.481029848333186,0
2.8763568300488003,-10.826001180340352,4
5.072773768173816,-3.9494482037486556,2
7.84918565639755,36.26326504508412,0
11.610500523518883,-1.32584847273939,2
16.17068822227822,6.466101509675736,1
5.055077258319153,35.50332858339846,0
3.835046288698545,35.40734374779049,0
16.592395545716613,11.517917494964983,1
4.923821969444068,-13.33053398795432,4
19.978789294178437,-5.861052105031022,3
16.94626887705561,7.332273021688741,1
19.90410403129493,-5.341321690485116,3
13.0825359427282,9.547656840444391,1
14.151164306749793,6.163623924945152,1
7.225162195571793,-12.635023139502136,4
19.571351845391163,-0.23818755579371764,3
6.218972013654626,37.26977969768673,0
